"gene;AN;origin;antibiotic"
"beta_lactamase;KJ694430_1;soil;FOX"
"beta_lactamase;KJ692118_1;soil;FOX"
"beta_lactamase;KJ692928_1;soil;FOX"
"beta_lactamase;KJ693138_1;soil;FOX"
"beta_lactamase;KJ693575_1;soil;FOX"
"beta_lactamase;KJ693740_1;soil;FOX"
"beta_lactamase;KJ694431_1;soil;FOX"
"beta_lactamase;KJ694532_1;soil;FOX"
"beta_lactamase;KJ694875_1;soil;FOX"
"beta_lactamase;KJ692825_1;soil;FOX"
"beta_lactamase;KJ693576_1;soil;FOX"
"beta_lactamase;KJ693840_1;soil;PEN"
"beta_lactamase;KJ692469_1;soil;CAZ"
"beta_lactamase;KJ692047_1;soil;CAZ"
"beta_lactamase;KJ691994_1;soil;PEN"
"beta_lactamase;KJ692834_1;soil;PEN"
"beta_lactamase;KJ692087_1;soil;FOX"
"beta_lactamase;KJ693678_1;soil;CAZ"
"beta_lactamase;KJ693438_1;soil;PEN"
"beta_lactamase;KJ693441_1;soil;CAZ"
"beta_lactamase;KJ692088_1;soil;FOX"
"beta_lactamase;KJ692111_1;soil;FOX"
"beta_lactamase;KJ693439_1;soil;PEN"
"beta_lactamase;KJ693914_1;soil;PEN"
"beta_lactamase;KJ693837_1;soil;PEN"
"beta_lactamase;KJ692176_1;soil;CAZ"
"beta_lactamase;KJ693679_1;soil;CAZ"
"beta_lactamase;KJ694423_1;soil;CAZ"
"beta_lactamase;KJ692766_1;soil;CAZ"
"beta_lactamase;KJ693736_1;soil;CAZ"
"beta_lactamase;KJ694495_1;soil;CAZ"
"beta_lactamase;KJ692346_1;soil;CAZ"
"beta_lactamase;KJ692079_1;soil;CAZ"
"beta_lactamase;KJ693190_1;soil;FOX"
"beta_lactamase;KJ694761_1;soil;CAZ"
"beta_lactamase;KJ693734_1;soil;CAZ"
"beta_lactamase;KJ692471_1;soil;FOX"
"beta_lactamase;KJ695034_1;soil;CAZ"
"beta_lactamase;KJ693735_1;soil;CAZ"
"beta_lactamase;KJ692768_1;soil;FOX"
"beta_lactamase;KJ694457_1;soil;FOX"
"beta_lactamase;KJ693334_1;soil;PEN"
"beta_lactamase;KJ694426_1;soil;CAZ"
"beta_lactamase;KJ695403_1;soil;CTX"
"beta_lactamase;KJ693140_1;soil;FOX"
"beta_lactamase;KJ692929_1;soil;FOX"
"beta_lactamase;KJ693577_1;soil;FOX"
"beta_lactamase;KJ695687_1;soil;FOX"
"beta_lactamase;KJ692933_1;soil;FOX"
"beta_lactamase;KJ692941_1;soil;CAZ"
"beta_lactamase;KJ692944_1;soil;CAZ"
"beta_lactamase;KJ691908_1;soil;CTX"
